ID,Nome,Idade,Sexo,Departamento,Cargo,Salario,Data Admissao,Tempo Empresa (anos),Estado Civil,Cidade,Nível Escolaridade
33,Funcionário 33,33,Masculino,Vendas,Gerente,2234,2011-09-27,11,Divorciado,São Paulo,Pós-Graduação
34,Funcionário 34,32,Masculino,TI,Gerente,3548,2014-11-05,8,Casado,Belo Horizonte,Mestrado
35,Funcionário 35,64,Feminino,Marketing,Coordenador,9480,2020-06-01,2,Divorciado,Curitiba,Ensino Médio
36,Funcionário 36,61,Feminino,Vendas,Analista,12288,2016-06-28,6,Divorciado,Belo Horizonte,Doutorado
37,Funcionário 37,20,Feminino,Vendas,Gerente,6213,2010-01-03,13,Solteiro,Porto Alegre,Pós-Graduação
38,Funcionário 38,54,Feminino,TI,Assistente,12293,2010-07-25,12,Solteiro,Belo Horizonte,Mestrado
39,Funcionário 39,24,Feminino,RH,Coordenador,3673,2021-04-28,2,Divorciado,Porto Alegre,Ensino Médio
40,Funcionário 40,38,Masculino,Financeiro,Coordenador,8708,2017-03-06,6,Divorciado,Curitiba,Doutorado
41,Funcionário 41,26,Feminino,Logística,Gerente,9982,2022-12-23,0,Solteiro,Curitiba,Mestrado
42,Funcionário 42,56,Masculino,RH,Analista,4100,2017-11-30,5,Viúvo,São Paulo,Doutorado
43,Funcionário 43,35,Masculino,Marketing,Assistente,13849,2018-09-29,4,Divorciado,Porto Alegre,Pós-Graduação
44,Funcionário 44,21,Masculino,Vendas,Analista,14845,2017-04-20,6,Casado,Porto Alegre,Ensino Médio
45,Funcionário 45,42,Feminino,TI,Diretor,13788,2019-01-20,4,Casado,Rio de Janeiro,Mestrado
46,Funcionário 46,31,Feminino,TI,Diretor,5748,2012-06-16,10,Casado,Rio de Janeiro,Ensino Médio
47,Funcionário 47,26,Feminino,Financeiro,Gerente,5173,2012-12-21,10,Divorciado,Rio de Janeiro,Pós-Graduação
48,Funcionário 48,43,Masculino,RH,Gerente,3815,2013-07-03,9,Viúvo,Belo Horizonte,Ensino Médio
49,Funcionário 49,19,Masculino,Financeiro,Gerente,5841,2011-11-02,11,Viúvo,Rio de Janeiro,Ensino Médio
50,Funcionário 50,37,Masculino,Vendas,Diretor,12197,2014-02-14,9,Solteiro,Porto Alegre,Superior Completo
51,Funcionário 51,45,Masculino,Financeiro,Analista,10016,2019-10-16,3,Divorciado,Belo Horizonte,Ensino Médio
52,Funcionário 52,64,Masculino,Logística,Analista,9011,2015-05-10,8,Viúvo,Curitiba,Doutorado
53,Funcionário 53,24,Masculino,TI,Gerente,6493,2010-09-07,12,Divorciado,São Paulo,Mestrado
54,Funcionário 54,61,Feminino,TI,Assistente,2674,2015-03-08,8,Solteiro,Rio de Janeiro,Superior Completo
55,Funcionário 55,25,Feminino,Marketing,Analista,10088,2019-06-02,3,Solteiro,Curitiba,Mestrado
56,Funcionário 56,64,Feminino,Marketing,Diretor,10578,2015-01-28,8,Solteiro,Porto Alegre,Mestrado
57,Funcionário 57,52,Feminino,Vendas,Coordenador,4158,2017-10-25,5,Casado,São Paulo,Pós-Graduação
58,Funcionário 58,31,Masculino,Logística,Coordenador,4661,2014-02-12,9,Divorciado,Curitiba,Pós-Graduação
59,Funcionário 59,34,Masculino,RH,Coordenador,4064,2019-04-09,4,Solteiro,São Paulo,Superior Completo
60,Funcionário 60,53,Feminino,Financeiro,Assistente,14043,2019-10-12,3,Divorciado,Rio de Janeiro,Pós-Graduação
61,Funcionário 61,57,Masculino,Vendas,Gerente,5253,2020-05-20,2,Casado,Porto Alegre,Pós-Graduação
62,Funcionário 62,21,Feminino,Marketing,Diretor,6979,2019-05-20,3,Casado,São Paulo,Pós-Graduação
63,Funcionário 63,19,Feminino,Financeiro,Assistente,9703,2010-02-13,13,Solteiro,Curitiba,Mestrado
64,Funcionário 64,23,Feminino,Marketing,Diretor,14828,2019-11-22,3,Solteiro,Rio de Janeiro,Superior Completo
65,Funcionário 65,59,Masculino,Financeiro,Diretor,14458,2017-03-03,6,Viúvo,Rio de Janeiro,Mestrado
66,Funcionário 66,21,Feminino,RH,Gerente,10931,2022-10-23,0,Divorciado,Curitiba,Doutorado
67,Funcionário 67,46,Feminino,Vendas,Coordenador,3401,2018-08-30,4,Solteiro,Curitiba,Mestrado
68,Funcionário 68,35,Feminino,Financeiro,Gerente,5259,2013-07-12,9,Viúvo,São Paulo,Doutorado
69,Funcionário 69,43,Masculino,Logística,Assistente,12469,2018-01-21,5,Divorciado,Belo Horizonte,Ensino Médio
70,Funcionário 70,61,Masculino,TI,Assistente,14096,2010-08-08,12,Solteiro,Rio de Janeiro,Ensino Médio
71,Funcionário 71,51,Feminino,Logística,Assistente,5923,2015-04-10,8,Viúvo,São Paulo,Doutorado
72,Funcionário 72,27,Masculino,Logística,Gerente,6214,2018-02-20,5,Viúvo,Curitiba,Doutorado
73,Funcionário 73,53,Masculino,TI,Diretor,5227,2019-08-15,3,Divorciado,São Paulo,Mestrado
74,Funcionário 74,31,Masculino,Logística,Diretor,13023,2016-09-14,6,Viúvo,Curitiba,Doutorado
75,Funcionário 75,48,Masculino,Financeiro,Analista,13950,2019-07-04,3,Divorciado,Porto Alegre,Superior Completo
76,Funcionário 76,32,Masculino,Financeiro,Assistente,12704,2017-08-06,5,Divorciado,Curitiba,Ensino Médio
77,Funcionário 77,25,Masculino,Financeiro,Diretor,12343,2012-09-17,10,Divorciado,Curitiba,Ensino Médio
78,Funcionário 78,31,Masculino,TI,Analista,13867,2018-01-25,5,Casado,Curitiba,Doutorado
79,Funcionário 79,40,Masculino,Logística,Diretor,4745,2014-12-18,8,Viúvo,Belo Horizonte,Pós-Graduação
80,Funcionário 80,57,Masculino,TI,Assistente,8091,2012-03-14,11,Divorciado,Curitiba,Pós-Graduação
81,Funcionário 81,38,Masculino,Financeiro,Coordenador,5866,2011-05-05,12,Solteiro,Rio de Janeiro,Doutorado
82,Funcionário 82,33,Feminino,Logística,Assistente,13956,2019-09-27,3,Casado,Rio de Janeiro,Superior Completo
83,Funcionário 83,62,Feminino,Logística,Gerente,7818,2014-02-02,9,Casado,São Paulo,Pós-Graduação
84,Funcionário 84,35,Masculino,Marketing,Diretor,4222,2019-12-25,3,Viúvo,Belo Horizonte,Doutorado
85,Funcionário 85,64,Feminino,Marketing,Diretor,4792,2017-12-01,5,Divorciado,São Paulo,Superior Completo
86,Funcionário 86,41,Feminino,RH,Gerente,11889,2014-09-02,8,Viúvo,Rio de Janeiro,Superior Completo
87,Funcionário 87,43,Masculino,Vendas,Gerente,13654,2019-08-18,3,Casado,Rio de Janeiro,Mestrado
88,Funcionário 88,42,Masculino,Marketing,Coordenador,6063,2019-02-23,4,Divorciado,Porto Alegre,Superior Completo
89,Funcionário 89,62,Masculino,TI,Diretor,3524,2010-02-23,13,Solteiro,Curitiba,Pós-Graduação
90,Funcionário 90,58,Feminino,Marketing,Diretor,14952,2017-01-19,6,Divorciado,Rio de Janeiro,Pós-Graduação
91,Funcionário 91,46,Feminino,RH,Coordenador,10224,2019-11-01,3,Casado,São Paulo,Doutorado
92,Funcionário 92,32,Masculino,Logística,Analista,8198,2011-09-08,11,Solteiro,São Paulo,Doutorado
93,Funcionário 93,62,Masculino,RH,Coordenador,6025,2012-08-12,10,Divorciado,Curitiba,Superior Completo
94,Funcionário 94,18,Masculino,Logística,Assistente,4566,2016-08-30,6,Solteiro,Curitiba,Ensino Médio
95,Funcionário 95,42,Feminino,Logística,Diretor,4803,2014-06-18,8,Solteiro,Porto Alegre,Mestrado
96,Funcionário 96,24,Feminino,Vendas,Gerente,14088,2017-08-13,5,Casado,Belo Horizonte,Ensino Médio
97,Funcionário 97,26,Feminino,Marketing,Assistente,5709,2011-10-12,11,Solteiro,São Paulo,Superior Completo
98,Funcionário 98,41,Feminino,TI,Diretor,8155,2016-06-05,6,Viúvo,Curitiba,Superior Completo
99,Funcionário 99,18,Masculino,TI,Coordenador,2719,2022-04-18,1,Casado,São Paulo,Ensino Médio
100,Funcionário 100,61,Masculino,Financeiro,Assistente,8516,2018-12-23,4,Viúvo,Curitiba,Mestrado
101,Funcionário 101,25,Masculino,Logística,Diretor,6579,2017-03-25,6,Solteiro,Rio de Janeiro,Ensino Médio
102,Funcionário 102,41,Masculino,TI,Analista,2972,2020-05-29,2,Viúvo,São Paulo,Doutorado
103,Funcionário 103,28,Feminino,Vendas,Analista,5718,2017-01-05,6,Divorciado,Rio de Janeiro,Pós-Graduação
104,Funcionário 104,34,Feminino,Logística,Gerente,9395,2018-11-24,4,Solteiro,São Paulo,Doutorado
105,Funcionário 105,25,Masculino,Vendas,Diretor,6402,2011-01-06,12,Divorciado,Belo Horizonte,Pós-Graduação
106,Funcionário 106,52,Masculino,TI,Analista,6552,2012-05-07,11,Viúvo,Porto Alegre,Superior Completo
107,Funcionário 107,52,Feminino,TI,Coordenador,4207,2011-01-19,12,Divorciado,Rio de Janeiro,Mestrado
108,Funcionário 108,50,Masculino,Financeiro,Diretor,6426,2020-08-13,2,Solteiro,Curitiba,Ensino Médio
109,Funcionário 109,22,Feminino,TI,Coordenador,8919,2016-12-27,6,Divorciado,Belo Horizonte,Mestrado
110,Funcionário 110,59,Masculino,Logística,Coordenador,14512,2021-11-13,1,Viúvo,São Paulo,Ensino Médio
111,Funcionário 111,56,Masculino,Logística,Analista,13222,2021-09-30,1,Viúvo,Rio de Janeiro,Doutorado
112,Funcionário 112,58,Masculino,Logística,Diretor,13767,2017-06-18,5,Viúvo,São Paulo,Doutorado
113,Funcionário 113,45,Masculino,Financeiro,Assistente,13308,2021-01-17,2,Solteiro,São Paulo,Ensino Médio
114,Funcionário 114,24,Masculino,Financeiro,Analista,13477,2019-01-07,4,Viúvo,São Paulo,Mestrado
115,Funcionário 115,26,Masculino,TI,Analista,10835,2021-08-22,1,Solteiro,Porto Alegre,Ensino Médio
116,Funcionário 116,25,Masculino,RH,Diretor,14903,2020-12-02,2,Divorciado,Porto Alegre,Superior Completo
117,Funcionário 117,29,Feminino,RH,Diretor,10386,2012-07-11,10,Viúvo,Curitiba,Doutorado
118,Funcionário 118,51,Feminino,Financeiro,Coordenador,14188,2017-12-25,5,Divorciado,Rio de Janeiro,Superior Completo
119,Funcionário 119,50,Feminino,TI,Diretor,10680,2018-01-29,5,Casado,Belo Horizonte,Doutorado
120,Funcionário 120,40,Feminino,RH,Coordenador,4204,2018-05-05,5,Divorciado,Belo Horizonte,Doutorado
121,Funcionário 121,41,Feminino,TI,Analista,12849,2012-09-01,10,Casado,Belo Horizonte,Pós-Graduação
122,Funcionário 122,54,Masculino,TI,Gerente,7345,2013-05-15,9,Divorciado,São Paulo,Superior Completo
123,Funcionário 123,52,Masculino,TI,Assistente,5276,2016-09-01,6,Solteiro,Porto Alegre,Superior Completo
124,Funcionário 124,61,Feminino,Marketing,Analista,3102,2014-12-20,8,Divorciado,Rio de Janeiro,Pós-Graduação
125,Funcionário 125,57,Masculino,Logística,Diretor,7243,2018-01-13,5,Solteiro,São Paulo,Mestrado
126,Funcionário 126,39,Feminino,TI,Assistente,8614,2013-09-25,9,Solteiro,Porto Alegre,Superior Completo
127,Funcionário 127,44,Feminino,Marketing,Gerente,11433,2020-10-15,2,Viúvo,Porto Alegre,Ensino Médio
128,Funcionário 128,52,Masculino,Financeiro,Gerente,10707,2010-07-23,12,Solteiro,Rio de Janeiro,Pós-Graduação
129,Funcionário 129,18,Masculino,RH,Coordenador,7223,2010-06-10,12,Casado,Rio de Janeiro,Superior Completo
130,Funcionário 130,52,Masculino,Logística,Assistente,10584,2022-04-15,1,Viúvo,Rio de Janeiro,Mestrado
131,Funcionário 131,54,Feminino,RH,Coordenador,2630,2012-02-08,11,Viúvo,São Paulo,Superior Completo
132,Funcionário 132,64,Masculino,Logística,Analista,13908,2020-04-06,3,Divorciado,Curitiba,Doutorado
133,Funcionário 133,31,Feminino,RH,Assistente,12039,2017-01-25,6,Solteiro,Rio de Janeiro,Ensino Médio
134,Funcionário 134,20,Feminino,Logística,Analista,12847,2012-12-29,10,Solteiro,Curitiba,Pós-Graduação
135,Funcionário 135,18,Feminino,RH,Coordenador,11171,2022-04-28,1,Casado,São Paulo,Doutorado
136,Funcionário 136,22,Masculino,RH,Assistente,14721,2011-08-31,11,Divorciado,Curitiba,Mestrado
137,Funcionário 137,43,Masculino,RH,Coordenador,13594,2014-03-21,9,Divorciado,Belo Horizonte,Doutorado
138,Funcionário 138,31,Feminino,RH,Assistente,14063,2017-11-15,5,Viúvo,Curitiba,Doutorado
139,Funcionário 139,56,Masculino,Financeiro,Coordenador,8683,2018-09-27,4,Viúvo,Rio de Janeiro,Mestrado
140,Funcionário 140,44,Masculino,TI,Gerente,2277,2015-01-12,8,Viúvo,São Paulo,Doutorado
141,Funcionário 141,26,Masculino,Vendas,Coordenador,2232,2011-11-21,11,Casado,Rio de Janeiro,Pós-Graduação
142,Funcionário 142,32,Feminino,Marketing,Gerente,11744,2020-04-17,3,Casado,Belo Horizonte,Superior Completo
143,Funcionário 143,32,Feminino,Vendas,Coordenador,7690,2018-01-28,5,Viúvo,Rio de Janeiro,Doutorado
144,Funcionário 144,43,Masculino,Vendas,Assistente,9659,2015-10-05,7,Divorciado,Rio de Janeiro,Pós-Graduação
145,Funcionário 145,59,Feminino,Logística,Assistente,13462,2011-01-01,12,Casado,Rio de Janeiro,Superior Completo
146,Funcionário 146,30,Masculino,TI,Assistente,12601,2019-10-16,3,Divorciado,Porto Alegre,Superior Completo
147,Funcionário 147,49,Masculino,Logística,Diretor,13704,2022-06-17,0,Divorciado,Belo Horizonte,Doutorado
148,Funcionário 148,56,Masculino,TI,Analista,2025,2021-07-01,1,Solteiro,Rio de Janeiro,Pós-Graduação
149,Funcionário 149,49,Masculino,TI,Assistente,9468,2021-06-04,1,Viúvo,Rio de Janeiro,Doutorado
150,Funcionário 150,21,Feminino,RH,Gerente,8410,2021-11-04,1,Solteiro,Rio de Janeiro,Mestrado
151,Funcionário 151,47,Feminino,Financeiro,Assistente,10652,2016-07-06,6,Viúvo,São Paulo,Superior Completo
152,Funcionário 152,54,Feminino,RH,Diretor,5764,2013-04-20,10,Viúvo,Porto Alegre,Doutorado
153,Funcionário 153,40,Masculino,Financeiro,Gerente,8599,2020-07-06,2,Divorciado,São Paulo,Superior Completo
154,Funcionário 154,56,Masculino,Logística,Diretor,13623,2017-06-28,5,Viúvo,Porto Alegre,Pós-Graduação
155,Funcionário 155,62,Masculino,Financeiro,Gerente,7102,2019-03-02,4,Divorciado,Rio de Janeiro,Ensino Médio
156,Funcionário 156,32,Feminino,Logística,Coordenador,9006,2014-08-03,8,Divorciado,Belo Horizonte,Doutorado
157,Funcionário 157,60,Masculino,Vendas,Analista,5483,2010-10-26,12,Viúvo,Curitiba,Doutorado
158,Funcionário 158,46,Feminino,Vendas,Analista,3994,2012-08-14,10,Divorciado,Curitiba,Superior Completo
159,Funcionário 159,53,Feminino,Financeiro,Diretor,10682,2013-01-19,10,Divorciado,Rio de Janeiro,Pós-Graduação
160,Funcionário 160,30,Feminino,Financeiro,Analista,3072,2016-11-10,6,Divorciado,São Paulo,Mestrado
161,Funcionário 161,49,Feminino,Logística,Diretor,8707,2014-01-14,9,Casado,Belo Horizonte,Pós-Graduação
162,Funcionário 162,24,Feminino,RH,Diretor,13365,2022-03-19,1,Divorciado,Porto Alegre,Doutorado
163,Funcionário 163,39,Feminino,Logística,Diretor,2215,2022-03-05,1,Casado,Rio de Janeiro,Mestrado
164,Funcionário 164,45,Masculino,RH,Analista,9605,2020-03-15,3,Casado,Belo Horizonte,Pós-Graduação
165,Funcionário 165,19,Masculino,Vendas,Diretor,11915,2019-07-04,3,Divorciado,Belo Horizonte,Ensino Médio
166,Funcionário 166,59,Feminino,TI,Analista,11784,2017-09-29,5,Divorciado,Porto Alegre,Superior Completo
167,Funcionário 167,62,Feminino,Financeiro,Diretor,4606,2017-10-21,5,Casado,Belo Horizonte,Pós-Graduação
168,Funcionário 168,23,Masculino,RH,Assistente,10350,2016-11-11,6,Casado,São Paulo,Pós-Graduação
169,Funcionário 169,45,Feminino,Logística,Diretor,6781,2020-04-28,3,Divorciado,São Paulo,Ensino Médio
170,Funcionário 170,45,Feminino,Vendas,Gerente,5313,2018-02-12,5,Divorciado,São Paulo,Doutorado
171,Funcionário 171,61,Masculino,RH,Diretor,13033,2022-07-31,0,Viúvo,Belo Horizonte,Superior Completo
172,Funcionário 172,61,Feminino,Logística,Coordenador,11968,2012-08-07,10,Casado,São Paulo,Pós-Graduação
173,Funcionário 173,37,Feminino,Financeiro,Diretor,12244,2022-08-09,0,Casado,Porto Alegre,Mestrado
174,Funcionário 174,47,Feminino,Financeiro,Gerente,9763,2017-10-21,5,Viúvo,Belo Horizonte,Pós-Graduação
175,Funcionário 175,28,Masculino,Marketing,Gerente,7939,2010-06-15,12,Casado,Curitiba,Superior Completo
176,Funcionário 176,45,Masculino,TI,Analista,4295,2019-07-19,3,Solteiro,Belo Horizonte,Pós-Graduação
177,Funcionário 177,42,Masculino,Marketing,Assistente,7685,2016-11-14,6,Casado,Porto Alegre,Ensino Médio
178,Funcionário 178,56,Feminino,Vendas,Diretor,3696,2012-07-08,10,Viúvo,Curitiba,Pós-Graduação
179,Funcionário 179,50,Feminino,RH,Analista,13185,2010-04-24,13,Solteiro,Belo Horizonte,Pós-Graduação
180,Funcionário 180,18,Masculino,Vendas,Assistente,12661,2019-08-06,3,Divorciado,São Paulo,Mestrado
181,Funcionário 181,44,Feminino,Logística,Diretor,3946,2012-09-18,10,Viúvo,Rio de Janeiro,Ensino Médio
182,Funcionário 182,30,Feminino,Financeiro,Coordenador,14001,2020-07-06,2,Viúvo,Rio de Janeiro,Ensino Médio
183,Funcionário 183,58,Feminino,Marketing,Diretor,4783,2013-06-12,9,Divorciado,São Paulo,Pós-Graduação
184,Funcionário 184,20,Feminino,Marketing,Gerente,5644,2019-05-20,3,Viúvo,Rio de Janeiro,Mestrado
185,Funcionário 185,56,Feminino,Marketing,Gerente,7241,2011-05-30,11,Casado,Rio de Janeiro,Pós-Graduação
186,Funcionário 186,23,Masculino,Vendas,Coordenador,8420,2018-10-02,4,Divorciado,São Paulo,Pós-Graduação
187,Funcionário 187,25,Feminino,Financeiro,Analista,12692,2022-02-21,1,Viúvo,São Paulo,Superior Completo
188,Funcionário 188,44,Masculino,RH,Assistente,9557,2017-01-28,6,Divorciado,Belo Horizonte,Superior Completo
189,Funcionário 189,26,Feminino,Logística,Diretor,13837,2010-03-09,13,Divorciado,Belo Horizonte,Mestrado
190,Funcionário 190,54,Masculino,RH,Gerente,4645,2014-05-16,8,Divorciado,São Paulo,Doutorado
191,Funcionário 191,50,Feminino,Vendas,Analista,8589,2022-04-06,1,Solteiro,Porto Alegre,Superior Completo
192,Funcionário 192,59,Masculino,Logística,Coordenador,8353,2010-01-19,13,Viúvo,Rio de Janeiro,Doutorado
193,Funcionário 193,61,Feminino,Marketing,Gerente,12541,2017-06-23,5,Solteiro,Belo Horizonte,Ensino Médio
194,Funcionário 194,41,Masculino,TI,Coordenador,3932,2019-08-23,3,Viúvo,Rio de Janeiro,Superior Completo
195,Funcionário 195,32,Feminino,Vendas,Diretor,13486,2011-07-27,11,Casado,Curitiba,Superior Completo
196,Funcionário 196,49,Masculino,Vendas,Assistente,3757,2016-03-08,7,Casado,São Paulo,Mestrado
197,Funcionário 197,49,Feminino,Financeiro,Gerente,7085,2017-12-12,5,Casado,Porto Alegre,Doutorado
198,Funcionário 198,41,Masculino,RH,Gerente,7637,2011-10-13,11,Viúvo,Curitiba,Superior Completo
199,Funcionário 199,58,Masculino,Vendas,Diretor,3116,2017-01-31,6,Divorciado,Curitiba,Superior Completo
200,Funcionário 200,29,Feminino,Vendas,Analista,12759,2018-12-07,4,Divorciado,Curitiba,Mestrado
201,Funcionário 201,56,Feminino,Marketing,Assistente,13691,2013-08-31,9,Solteiro,São Paulo,Mestrado
202,Funcionário 202,19,Masculino,Marketing,Gerente,2492,2019-12-14,3,Solteiro,Belo Horizonte,Doutorado
203,Funcionário 203,20,Feminino,Logística,Assistente,13498,2017-09-28,5,Casado,São Paulo,Ensino Médio
204,Funcionário 204,54,Masculino,TI,Gerente,10811,2016-01-27,7,Solteiro,Belo Horizonte,Ensino Médio
205,Funcionário 205,34,Masculino,Financeiro,Assistente,13424,2019-09-10,3,Viúvo,Curitiba,Pós-Graduação
206,Funcionário 206,19,Masculino,TI,Coordenador,9888,2012-11-03,10,Viúvo,Curitiba,Superior Completo
207,Funcionário 207,19,Feminino,Logística,Gerente,14015,2022-01-01,1,Solteiro,Porto Alegre,Doutorado
208,Funcionário 208,45,Masculino,Marketing,Assistente,8474,2020-11-22,2,Solteiro,Belo Horizonte,Superior Completo
209,Funcionário 209,40,Masculino,RH,Analista,12572,2018-02-09,5,Solteiro,Curitiba,Doutorado
210,Funcionário 210,54,Feminino,Marketing,Coordenador,11738,2018-11-01,4,Solteiro,Rio de Janeiro,Doutorado
211,Funcionário 211,49,Feminino,Financeiro,Coordenador,6958,2013-01-03,10,Casado,Porto Alegre,Doutorado
212,Funcionário 212,50,Feminino,Marketing,Analista,13755,2016-05-13,6,Casado,São Paulo,Superior Completo
213,Funcionário 213,18,Feminino,Financeiro,Assistente,11797,2012-07-28,10,Solteiro,Porto Alegre,Mestrado
214,Funcionário 214,36,Masculino,Financeiro,Diretor,13944,2020-03-05,3,Viúvo,Rio de Janeiro,Superior Completo
215,Funcionário 215,19,Masculino,Financeiro,Analista,14867,2019-05-08,4,Casado,Belo Horizonte,Doutorado
216,Funcionário 216,61,Masculino,Logística,Assistente,12082,2013-12-19,9,Viúvo,São Paulo,Pós-Graduação
217,Funcionário 217,43,Masculino,Financeiro,Analista,11467,2011-07-25,11,Divorciado,São Paulo,Ensino Médio
218,Funcionário 218,49,Feminino,Financeiro,Analista,4743,2017-12-14,5,Viúvo,Belo Horizonte,Doutorado
219,Funcionário 219,23,Masculino,RH,Gerente,9866,2016-11-10,6,Solteiro,Porto Alegre,Pós-Graduação
220,Funcionário 220,49,Masculino,TI,Assistente,12685,2012-07-06,10,Divorciado,Curitiba,Mestrado
221,Funcionário 221,21,Feminino,Vendas,Diretor,9160,2015-02-18,8,Casado,Porto Alegre,Doutorado
222,Funcionário 222,28,Masculino,TI,Gerente,7451,2014-08-06,8,Casado,Rio de Janeiro,Pós-Graduação
223,Funcionário 223,34,Masculino,Financeiro,Analista,7258,2011-09-08,11,Divorciado,Curitiba,Doutorado
224,Funcionário 224,55,Masculino,RH,Analista,10548,2022-04-29,1,Viúvo,Porto Alegre,Superior Completo
225,Funcionário 225,41,Masculino,Marketing,Analista,9186,2014-10-16,8,Casado,Belo Horizonte,Pós-Graduação
226,Funcionário 226,22,Masculino,RH,Assistente,8102,2020-06-22,2,Solteiro,Rio de Janeiro,Superior Completo
227,Funcionário 227,51,Masculino,Financeiro,Assistente,11061,2021-06-20,1,Divorciado,Rio de Janeiro,Superior Completo
228,Funcionário 228,23,Feminino,RH,Gerente,11077,2016-10-13,6,Solteiro,Rio de Janeiro,Pós-Graduação
229,Funcionário 229,39,Feminino,RH,Diretor,12193,2019-08-07,3,Divorciado,Curitiba,Ensino Médio
230,Funcionário 230,28,Masculino,Financeiro,Gerente,11475,2019-07-08,3,Casado,São Paulo,Pós-Graduação
231,Funcionário 231,33,Masculino,Logística,Coordenador,2619,2022-05-27,0,Viúvo,Curitiba,Ensino Médio
232,Funcionário 232,50,Feminino,RH,Analista,2882,2013-02-09,10,Divorciado,Porto Alegre,Doutorado
233,Funcionário 233,26,Masculino,Vendas,Analista,10988,2020-12-14,2,Divorciado,São Paulo,Doutorado
234,Funcionário 234,23,Masculino,Vendas,Analista,5642,2011-01-10,12,Solteiro,Porto Alegre,Pós-Graduação
235,Funcionário 235,33,Masculino,RH,Gerente,13617,2010-07-26,12,Casado,São Paulo,Doutorado
